es_original,n_original,p_value_original,vi_original,result,ci.lower_original,ci.upper_original,disc_cognitive_psychology,disc_developmental_psychology,disc_experimental_philosophy,disc_judgment_and_decision_making,disc_marketing,disc_psychology,disc_social_psychology,tag_attention,tag_conflict_(psychology),tag_cues,tag_culture,tag_female,tag_humans,tag_male,tag_memory,tag_short-term,tag_mental_recall,tag_motivation,tag_reading,tag_reaction_time,tag_association_learning,tag_discrimination_learning,tag_pattern_recognition,tag_visual,tag_serial_learning,tag_decision_making,tag_psychological,tag_adolescent,tag_adult,tag_social_science_replication_project,tag_science,tag_nature,tag_human_behavior,tag_judgment,tag_problem_solving,tag_psychomotor_performance,tag_semantics,tag_many_labs_2,tag_attitude,tag_first_impression,tag_impression_formation,tag_variation_of_a_central_quality_in_impression_formation,tag_social_perception,tag_sensory_marketing,tag_orientation,tag_binge-watching,tag_self-determination_theory,tag_media_psychology,tag_well-being,tag_brand_names,tag_linguistics,tag_sound_symbolism,tag_social_value_orientation_(slm),tag_sample_2,tag_social_value_orientation_(tdm),tag_sample_1
0.681152182,125.0,2.3128542891991003e-18,0.0023171773283767,Success,0.574231635089341,0.765226761813968,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.296188606581844,166.0,0.0001068036780809,0.0050438834325594,Failure,0.150664464270655,0.429148684307855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.237742354491075,166.0,0.0020403455798533,0.005394859499913,Success,0.0886304488080424,0.376432023169268,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.387294823813861,166.0,2.53825133726259e-07,0.0043788158973774,Success,0.24970420191657,0.509555927089632,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.529775632876463,166.0,2.14680205316669e-13,0.0031360414546896,Success,0.410586943419954,0.631164543491329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251242162819184,166.0,0.0010942431670851,0.0053196316178924,Success,0.102856951245748,0.388688711768699,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.112877920830841,166.0,0.147624672198937,0.0059071484478128,OS not significant,-0.0401336304934812,0.260716730855781,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57236789257382,166.0,7.87358497866029e-16,0.0027400910911605,Success,0.460165422068574,0.666574782139977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.385185018142776,166.0,2.98509680655102e-07,0.0043956237461776,Success,0.247377645483056,0.507717727554155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58745257724797,166.0,8.838357330744311e-17,0.0025993534250385,Success,0.4778938039369,0.679014717311585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.609638932587414,166.0,2.86057512230366e-18,0.0023927977147051,Success,0.504131658330323,0.69721616356698,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.643684735033393,166.0,8.49378545796508e-21,0.0020788442682082,Success,0.544776995583291,0.724929096548362,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.768996671531436,166.0,1.08755871761149e-33,0.0010120607038493,Success,0.698492950215316,0.824715364456709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.614972356463181,166.0,1.20413075020989e-18,0.0023433117179311,Success,0.510468202699869,0.701574876459244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430431681453682,166.0,7.115053846441721e-09,0.0040229250840309,Success,0.297623569180651,0.546896465261511,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.792636915990931,166.0,4.48329301409719e-37,0.0008374591146795,Success,0.728239931245653,0.843159064750388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.677807472906753,202.0,1.59602715540373e-28,0.001453848383128,Success,0.595476388865218,0.746049161489265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48438017,25.0,0.0141390994367503,0.0244083413815578,Failure,0.110374179741873,0.738220424801664,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.961380601,15.0,1.1675401734907e-08,0.0004098328228741,Success,0.88492545787682,0.987379314040572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.347251138,67.0,0.0039886815586722,0.0117177824136076,Failure,0.116783766834157,0.5422308147362,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.277889222,72.0,0.0181053849355618,0.0119932177844701,Success,0.0494010132750694,0.478737521287793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19941411,8.0,0.635892664851034,0.131721337029877,OS not significant,-0.587866887451755,0.792696025621809,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.403632537,20.0,0.0775892396699106,0.0368791696842141,OS not significant,-0.0473447681212891,0.717921250691125,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363732358,154.0,3.53750947301585e-06,0.0049209226044812,Success,0.218119715013709,0.493502725201559,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.398893759237905,77.0,0.0003263901325872,0.009303756746057,Success,0.192075691473779,0.57178699233331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.715143728,100.0,6.3702815762014e-17,0.0024111121799432,Failure,0.603497157084358,0.79928809678228,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35200515,327.0,5.6825233000661893e-11,0.0023544105780225,Success,0.253213754489897,0.443530631474169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1961161,60.0,0.133154249593757,0.0156704447376649,OS not significant,-0.0608382705490435,0.428692465359666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1961161,60.0,0.133154249593757,0.0156704447376649,OS not significant,-0.0608382705490435,0.428692465359666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.594960462,24.0,0.0021647982478488,0.018145412493507,Success,0.252059257800786,0.80512344469461,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,373.0,0.0009798470225881,0.0025350408870967,Failure,0.0696599833250027,0.266934617452733,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39091126,22.0,0.0720392624302116,0.0341775315589342,OS not significant,-0.0367548002315112,0.69755468108705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.207643072,261.0,0.0007372516311632,0.003521644877595,Failure,0.0884531523582559,0.320970752711848,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.71860822,124.0,5.6486221516136905e-21,0.001901391163705,Success,0.620970119720849,0.794286669413689,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.188662549,208.0,0.0063510480344034,0.0044931390653994,Failure,0.0540075680931568,0.316578421381058,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.701088742,141.0,3.68519239003156e-22,0.0018467599591181,Success,0.606012533191018,0.776415505227125,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.461300742,32.0,0.0078741067479229,0.0199898838412912,Failure,0.134191915525617,0.697758338587921,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52450217,36.0,0.0010242025369322,0.0150136099236092,Success,0.236765282776167,0.727650791690358,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22478523,18.0,0.36984099041931,0.0530291952892044,OS not significant,-0.270469387972522,0.625963276566286,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.208,194.0,0.0036110468810016,0.0047427138533471,Failure,0.0691514337921244,0.338943138693949,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.171,194.0,0.01712801252635,0.0048827618449792,Failure,0.0308687772103537,0.304538626276502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.189,194.0,0.0083081528987743,0.0048177926934766,Failure,0.0494415593475995,0.321319594280337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.31141217,56.0,0.0194779062296294,0.0148263557080605,Failure,0.0528374641020231,0.530851651231453,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.611557833205227,35.0,9.49664622918087e-05,0.0115256548484956,Success,0.349549266521991,0.784851921370434,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1228,298.0,0.0340927006298596,0.0032662212847623,Success,0.0093091300407713,0.233167457778386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34169106,35.0,0.0445393099758199,0.0229448720818494,Failure,0.0095296292076422,0.605940730231007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08638604,202.0,0.221539948493843,0.0049011472328731,OS not significant,-0.0522885369381374,0.221792020122845,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1553651,231.0,0.0181324957669127,0.0041404609983527,Success,0.0268253838438266,0.278850659400281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
